mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__colsample_bytree,param_estimator__learning_rate,param_estimator__max_depth,param_estimator__n_estimators,param_estimator__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.13804475466410318,0.0361047696350156,0.009725093841552734,0.0007829456320726394,0.8,0.01,3,100,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__subsample': 0.8}",-912.4498945204592,-836.5217433529006,-1011.5598158019683,-920.1771512251094,71.66758715907743,108
0.12256701787312825,0.012627731234175142,0.012026151021321615,0.0016911967803950627,0.8,0.01,3,100,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__subsample': 1.0}",-912.915899624482,-837.0109404674552,-1002.6946434737569,-917.540494521898,67.71908898257074,106
0.16667564709981283,0.015271011972100946,0.008544445037841797,0.00021516410470291984,0.8,0.01,3,200,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__subsample': 0.8}",-651.4217832786602,-672.1575846803781,-766.9456341991108,-696.8416673860497,50.28862023120772,94
0.166668971379598,0.008418257551624063,0.010345220565795898,0.00118457094763265,0.8,0.01,3,200,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__subsample': 1.0}",-660.1828707700276,-673.7550055572341,-768.1886053770287,-700.7088272347634,48.03603546135981,95
0.2253716786702474,0.008454129523650548,0.009909709294637045,0.001024127542300977,0.8,0.01,3,300,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 300, 'estimator__subsample': 0.8}",-559.0326426806371,-607.8812046788674,-679.9015438859634,-615.6051304151559,49.64585978864373,77
0.3035284678141276,0.030156080775722554,0.01257944107055664,0.0029966892255065894,0.8,0.01,3,300,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 300, 'estimator__subsample': 1.0}",-572.1894153573895,-620.3647454193284,-689.2601615104886,-627.2714407624022,48.0428054387083,83
0.28406627972920734,0.024542841935637896,0.011083602905273438,0.0008820740779861717,0.8,0.01,5,100,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 100, 'estimator__subsample': 0.8}",-858.6019239899862,-804.7766963052486,-979.0920787832355,-880.8235663594901,72.8780450904583,104
0.23410765329996744,0.019202630254189945,0.011492490768432617,0.0027731831642123918,0.8,0.01,5,100,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 100, 'estimator__subsample': 1.0}",-854.9475879985324,-809.5569009517437,-965.9387260984979,-876.8144050162579,65.68834028411496,101
0.4354517459869385,0.07133688431547797,0.017289400100708008,0.005475490047257556,0.8,0.01,5,200,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 200, 'estimator__subsample': 0.8}",-591.9158422986446,-633.0774573226001,-727.0189950848153,-650.67076490202,56.541187505975955,88
0.4707155227661133,0.012620752881719828,0.010723431905110678,0.00032137293532320257,0.8,0.01,5,200,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 200, 'estimator__subsample': 1.0}",-599.1624364694837,-647.0256954635704,-723.210062775164,-656.4660649027394,51.08028862734576,90
0.6632893880208334,0.06491986507850679,0.012335777282714844,0.00110389554632569,0.8,0.01,5,300,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 300, 'estimator__subsample': 0.8}",-519.2792321305249,-581.9103680183874,-651.6392842498274,-584.2762947995799,54.06165650690942,51
0.6372823715209961,0.03601899585720803,0.013147672017415365,0.001538419282501133,0.8,0.01,5,300,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 300, 'estimator__subsample': 1.0}",-530.9456402689054,-596.5051653951571,-657.0320559338312,-594.8276205326312,51.488229537642546,62
0.41977763175964355,0.02047195259822865,0.011245250701904297,0.0009699428858450029,0.8,0.01,7,100,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 7, 'estimator__n_estimators': 100, 'estimator__subsample': 0.8}",-852.6345228332183,-803.779843156509,-975.0171815650898,-877.143849184939,72.02354626544052,102
0.4056360721588135,0.024937290984953994,0.009756167729695639,0.0009609871931189267,0.8,0.01,7,100,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 7, 'estimator__n_estimators': 100, 'estimator__subsample': 1.0}",-836.1549052032976,-813.636962890625,-962.4789256733426,-870.7569312557551,65.50550931768605,97
