mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__colsample_bytree,param_estimator__learning_rate,param_estimator__max_depth,param_estimator__n_estimators,param_estimator__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.33054176966349286,0.11850672951103633,0.017443418502807617,0.010006326309139982,0.8,0.01,3,100,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__subsample': 0.8}",-840.2032815004006,-763.6649187873392,-851.1096002915326,-818.3259335264241,38.906784726431276,106
0.2124644915262858,0.03206825181564638,0.011682748794555664,0.0007228139120479748,0.8,0.01,3,100,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__subsample': 1.0}",-845.0801925938645,-770.9038902731503,-852.8274922090418,-822.9371916920189,36.928791886024406,107
0.27476294835408527,0.07891524040473272,0.017275412877400715,0.010100454978635124,0.8,0.01,3,200,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__subsample': 0.8}",-608.0810757032681,-569.1976067038144,-623.0527644437902,-600.1104822836243,22.69716977063254,93
0.20396272341410318,0.03478967713141815,0.01088404655456543,0.0009492343425382222,0.8,0.01,3,200,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__subsample': 1.0}",-615.7786994906136,-575.7669511682847,-622.7722616756664,-604.7726374448549,20.70788666652009,95
0.3707822958628337,0.05836935950066601,0.010991414388020834,0.00019265739115681443,0.8,0.01,3,300,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 300, 'estimator__subsample': 0.8}",-523.8505079108717,-502.56358472038715,-533.9104905969956,-520.1081944094182,13.068047795204105,85
0.39130457242329914,0.0285134040879035,0.014125823974609375,0.004283220534068649,0.8,0.01,3,300,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 300, 'estimator__subsample': 1.0}",-530.4315811548478,-500.94249725341797,-537.0986215928021,-522.8242333336892,15.71029678194773,86
0.24580748875935873,0.05351988095063592,0.011207660039265951,0.0005065326141644556,0.8,0.01,5,100,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 100, 'estimator__subsample': 0.8}",-799.6877584492331,-723.8297442267923,-798.5925454532398,-774.036682709755,35.504482127854,102
0.27121996879577637,0.0500334727717905,0.01474293073018392,0.005599427255685203,0.8,0.01,5,100,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 100, 'estimator__subsample': 1.0}",-800.1881447816506,-742.8020181094898,-795.324847053079,-779.4383366480732,25.98176018215587,103
0.5307693481445312,0.08694750903817829,0.012973785400390625,0.001937596885999805,0.8,0.01,5,200,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 200, 'estimator__subsample': 0.8}",-545.0872136489812,-508.21818991268384,-556.8676116045783,-536.7243383887478,20.722689975042837,90
0.6202375888824463,0.23160561397348653,0.01618361473083496,0.005583736379300388,0.8,0.01,5,200,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 200, 'estimator__subsample': 1.0}",-551.8468402121966,-527.5437810561236,-545.0029534732594,-541.4645249138599,10.232302725140496,91
0.8353839715321859,0.22642805059942878,0.01805710792541504,0.006413679405739239,0.8,0.01,5,300,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 300, 'estimator__subsample': 0.8}",-465.5629733019259,-438.0697057387408,-468.2156618903665,-457.28278031034444,13.628789749578186,78
1.0171399116516113,0.09492537532298359,0.021390755971272785,0.00789403882361589,0.8,0.01,5,300,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 300, 'estimator__subsample': 1.0}",-468.839851798592,-450.2595834171071,-460.4511184692383,-459.8501845616458,7.597255401479884,79
0.643571138381958,0.06834322298156902,0.021416584650675457,0.008495872091384221,0.8,0.01,7,100,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 7, 'estimator__n_estimators': 100, 'estimator__subsample': 0.8}",-786.9666207002633,-705.9562656178194,-779.5105159983915,-757.477800772158,36.55817111423139,98
0.6010316212972006,0.07975534330032191,0.014054377873738607,0.001385914032250462,0.8,0.01,7,100,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 7, 'estimator__n_estimators': 100, 'estimator__subsample': 1.0}",-786.7402790894001,-714.6241993623621,-772.5639262479895,-757.9761348999173,31.195993130638797,99
