mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__colsample_bytree,param_estimator__learning_rate,param_estimator__max_depth,param_estimator__n_estimators,param_estimator__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.18589059511820474,0.06045505475632258,0.018791675567626953,0.011868957355840416,0.8,0.01,3,100,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__subsample': 0.8}",-806.8677891322544,-865.3835120567909,-840.6202023684324,-837.6238345191592,23.982717702009218,106
0.14467382431030273,0.033739359021868455,0.011397759119669596,0.0016056944698485194,0.8,0.01,3,100,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__subsample': 1.0}",-810.1066505515969,-865.8982302487551,-844.4679404457847,-840.1576070820456,22.97983640144858,108
0.2630523045857747,0.06329115787866536,0.013662179311116537,0.002690765292206873,0.8,0.01,3,200,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__subsample': 0.8}",-598.2920116382641,-612.4771735222785,-596.4578672974974,-602.4090174860133,7.158530847579855,94
0.3022747039794922,0.09561385208994777,0.017751375834147137,0.00491541012890802,0.8,0.01,3,200,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__subsample': 1.0}",-603.7456141880581,-613.8004287887405,-606.7453962053571,-608.097146394052,4.214676388763559,96
0.33220362663269043,0.037661403201207,0.01797652244567871,0.009451556197860905,0.8,0.01,3,300,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 300, 'estimator__subsample': 0.8}",-523.7718247633713,-510.1873722286015,-509.588134430267,-514.5157771407466,6.549584448851742,89
0.45410434405008954,0.07826898243764331,0.020325899124145508,0.00776517624874942,0.8,0.01,3,300,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 300, 'estimator__subsample': 1.0}",-530.7023798345209,-516.9479011284126,-514.4589169680418,-520.7030659769918,7.143223770524306,92
0.3591495354970296,0.12144408157301506,0.015800873438517254,0.005472539266048389,0.8,0.01,5,100,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 100, 'estimator__subsample': 0.8}",-748.0781035370879,-797.8287145593664,-769.1808525336968,-771.6958902100504,20.388311768553773,104
0.4540856679280599,0.1190305170315313,0.020623127619425457,0.008265476902248926,0.8,0.01,5,100,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 100, 'estimator__subsample': 1.0}",-744.1670491983602,-799.9330249828297,-768.1407276195484,-770.7469339335794,22.84082963046628,103
0.819922924041748,0.28390210359505114,0.013480504353841146,0.0015979673372964476,0.8,0.01,5,200,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 200, 'estimator__subsample': 0.8}",-515.7244956886375,-519.9633148528717,-511.65635865599245,-515.7813897325005,3.391539278202738,90
1.0091358820597331,0.31755918050114307,0.03089118003845215,0.013577033048469895,0.8,0.01,5,200,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 200, 'estimator__subsample': 1.0}",-517.1591344141698,-516.8695722307477,-504.5504847935268,-512.8597304794814,5.876713053325193,87
1.0660231908162434,0.2771320685439113,0.015859365463256836,0.0020327640293651282,0.8,0.01,5,300,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 300, 'estimator__subsample': 0.8}",-435.0203330909813,-413.3307679564088,-430.9222938621437,-426.4244649698446,9.40858322632464,79
1.2139231363932292,0.35421146204582077,0.04215645790100098,0.03222375261315839,0.8,0.01,5,300,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 300, 'estimator__subsample': 1.0}",-434.11134153932005,-417.25879912324007,-424.29776403406163,-425.2226348988739,6.911033982402234,78
1.0387020111083984,0.330294540748064,0.018308083216349285,0.009684944869846432,0.8,0.01,7,100,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 7, 'estimator__n_estimators': 100, 'estimator__subsample': 0.8}",-722.7045663686899,-768.9449737884186,-748.2831964178399,-746.6442455249829,18.913107264672675,100
0.8256996472676595,0.22514960451279392,0.017673492431640625,0.006851411815979454,0.8,0.01,7,100,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 7, 'estimator__n_estimators': 100, 'estimator__subsample': 1.0}",-715.3883130419385,-767.7552738399296,-737.2155084295587,-740.1196984371422,21.477125591423917,97
